Function,MatrixSize,Threads,AvgTime,MFlops,Speedup,Efficiency
OnMultLineParallel1,600,4,0.098972,4364.870873,0.800651,0.200163
OnMultLineParallel1,1000,4,0.750375,2665.334,0.682779,0.170695
OnMultLineParallel1,1400,4,2.593589,2115.986766,0.533937,0.133484
OnMultLineParallel1,1800,4,6.30831,1848.989666,0.462524,0.115631
OnMultLineParallel1,2200,4,11.747016,1812.885928,0.441614,0.110404
OnMultLineParallel1,2600,4,19.714086,1783.090527,0.431037,0.107759
OnMultLineParallel1,3000,4,30.141177,1791.569055,0.432378,0.108094
OnMultLineParallel2,600,4,1.101079,392.34242,0.071968,0.017992
OnMultLineParallel2,1000,4,5.310247,376.630315,0.096481,0.02412
OnMultLineParallel2,1400,4,16.522503,332.153064,0.083814,0.020954
OnMultLineParallel2,1800,4,34.19171,341.135322,0.085335,0.021334
OnMultLineParallel2,2200,4,64.551507,329.907093,0.080365,0.020091
OnMultLineParallel2,2600,4,101.26927,347.114184,0.08391,0.020978
OnMultLineParallel2,3000,4,175.485539,307.717663,0.074265,0.018566
